,Word,Sum_x,Sum_y,PositiveNegativeRatio,All_Sum
74,lettuce,348,90,3.8666666666666667,964
95,caesar,210,43,4.883720930232558,454
104,wing,1862,272,6.845588235294118,3205
99,tiramisu,256,32,8.0,462
71,marinara,487,58,8.39655172413793,947
45,bacon,803,93,8.634408602150538,1644
60,fish,450,52,8.653846153846153,809
73,spaghetti,440,49,8.979591836734693,876
77,lasagna,394,43,9.162790697674419,724
23,pepperoni,1822,197,9.248730964467006,4057
8,chicken,3498,378,9.253968253968255,6458
59,shrimp,467,49,9.53061224489796,933
84,margherita,379,39,9.717948717948717,788
85,chocolate,358,36,9.944444444444445,697
28,wine,1669,150,11.126666666666667,2826
30,sausage,1379,120,11.491666666666667,2863
50,mozzarella,948,82,11.560975609756097,1585
75,bbq,476,40,11.9,853
78,cocktail,426,32,13.3125,710
9,beer,4014,270,14.866666666666667,6133
